Lipid Name,Lipid Unique Identifier,Precursor m/z,Precursor Retention Time (sec),Identification Charge,LMP,HMP,cf,neutromers_to_extract,literature_n,Adduct,Adduct_cf
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.998,518.321947504322,1079.8758,1,,,C24H50NO7P,3.0,,M+Na,C24H50NO7PNa
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.998,478.32943952432197,1079.8758,1,,,C24H50NO7P,3.0,,M+H-[H20],C24H49NO6P
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.998,500.311384204322,1079.8758,1,,,C24H50NO7P,3.0,,M+Na-[H2O],C24H48NO6PNa
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.998,513.366549824322,1079.8758,1,,,C24H50NO7P,3.0,,M+NH4,C24H54N2O7P
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.998,494.34816192432197,1079.8758,1,,,C24H50NO7P,3.0,,M+NH4-[H2O],C24H52N2O6P
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.361,496.34000282432197,1041.6394000000018,1,,,C24H50NO7P,3.0,,M+H,C24H51NO7P
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.361,518.321947504322,1041.6394000000018,1,,,C24H50NO7P,3.0,,M+Na,C24H50NO7PNa
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.361,478.32943952432197,1041.6394000000018,1,,,C24H50NO7P,3.0,,M+H-[H20],C24H49NO6P
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.361,500.311384204322,1041.6394000000018,1,,,C24H50NO7P,3.0,,M+Na-[H2O],C24H48NO6PNa
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.361,513.366549824322,1041.6394000000018,1,,,C24H50NO7P,3.0,,M+NH4,C24H54N2O7P
LPC 16:0/0:0_al,LPC 16:0/0:0_al_17.361,494.34816192432197,1041.6394000000018,1,,,C24H50NO7P,3.0,,M+NH4-[H2O],C24H52N2O6P
Cer_NS d20:1_18:0_al,Cer_NS d20:1_18:0_al_37.576,594.582037499585,2254.563199999998,1,,,C38H75NO3,3.0,,M+H,C38H76NO3
Cer_NS d20:1_18:0_al,Cer_NS d20:1_18:0_al_37.576,616.563982179585,2254.563199999998,1,,,C38H75NO3,3.0,,M+Na,C38H75NO3Na
